"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"4",1456,"Iraq","Abercrombie",1,"10/9/2002","House","Ingroup",2,0.0189
"8",1788,"Iran","Ackerman",1,"9/28/2006","House","Ingroup",2,0.0284
"11",1874,"North Korea","Ackerman",1,"11/15/2006","House Hearings","Ingroup",1,0.0287
"12",1386,"Iran","Ackerman",1,"3/6/2007","House Hearings","Ingroup",2,0.0187
"17",1771,"Iran","Ackerman",1,"9/26/2008","House","Ingroup",2,0.0344
"24",944,"Iran","Ackerman",1,"7/27/2011","House Hearings","Ingroup",3,0.0253
"27",904,"Iran","Ackerman",1,"10/14/2011","House Hearings","Ingroup",1,0.0104
"30",978,"North Korea","Ackerman",1,"10/13/1999","House Hearings","Ingroup",1,0.0043
"38",1995,"Afghanistan","AllenME",1,"6/26/2002","Senate Hearings","Ingroup",2,0.0271
"41",1337,"Iraq","AllenME",1,"10/10/2002","House","Ingroup",2,0.038
"47",460,"Iran","Andrews",1,"3/3/2004","House","Ingroup",8,0.0121
"52",691,"Iran","Andrews",1,"6/8/2005","House","Ingroup",3,0.0085
"54",541,"Sudan","Andrews",1,"4/5/2006","House","Ingroup",3,0.0601
"57",459,"Iran","Andrews",1,"2/8/2007","House","Ingroup",1,0.0126
"60",1057,"Libya","Andrews",1,"6/24/2011","House","Ingroup",1,0.0325
"64",461,"Iran","Andrews",1,"11/11/2011","House","Ingroup",12,0.0405
"68",1622,"Afghanistan","Baca",1,"9/14/2001","House","Ingroup",1,0.0424
"78",1339,"Iraq","Baldacci",1,"10/10/2002","House","Ingroup",1,0.0136
"82",1754,"Afghanistan","Baldwin",1,"9/14/2001","House","Ingroup",1,0.0393
"86",741,"Iraq","Baldwin",1,"3/6/2003","House","Ingroup",2,0.0486
"88",482,"Iraq","Baucus",1,"10/10/2002","Senate","Ingroup",1,0.0296
"92",369,"Iraq","Bayh",1,"10/8/2002","Senate","Ingroup",1,0.0036
"94",1624,"Afghanistan","Becerra",1,"9/14/2001","House","Ingroup",2,0.1116
"97",1459,"Iraq","Becerra",1,"10/9/2002","House","Ingroup",1,0.01
"105",1593,"Afghanistan","Berkley",1,"9/14/2001","House","Ingroup",1,0.0433
"121",1377,"Iran","Berman",1,"3/15/2007","House Hearings","Ingroup",2,0.0081
"124",1142,"Iran","Berman",1,"7/9/2008","House Hearings","Ingroup",8,0.0283
"126",1768,"Iran","Berman",1,"9/26/2008","House","Ingroup",1,0.0101
"130",1944,"Russia","Berman",1,"11/9/2008","House Hearings","Ingroup",6,0.013
"135",1141,"Libya","Berman",1,"3/31/2011","House Hearings","Ingroup",2,0.0126
"140",997,"Libya","Berman",1,"6/3/2011","House","Ingroup",2,0.0088
"144",1067,"Libya","Berman",1,"6/24/2011","House","Ingroup",1,0.0107
"148",1965,"Russia","Berman",1,"7/7/2011","House Hearings","Ingroup",1,0.0084
"152",13,"Iran","Berman",1,"10/14/2011","House Hearings","Ingroup",2,0.0151
"157",1913,"Russia","Berman",1,"10/6/1999","House Hearings","Ingroup",3,0.0389
"165",2162,"Iraq","Biden",1,"3/22/2000","Senate Hearings","Ingroup",3,0.0137
"169",56,"North Korea","Biden",1,"3/7/2001","Senate","Ingroup",6,0.0176
"173",2292,"North Korea","Biden",1,"5/23/2001","Senate Hearings","Ingroup",2,0.0143
"177",12,"Afghanistan","Biden",1,"10/3/2001","Senate","Ingroup",1,0.0035
"182",1985,"Afghanistan","Biden",1,"12/6/2001","Senate Hearings","Ingroup",10,0.015
"187",1997,"Afghanistan","Biden",1,"6/26/2002","Senate Hearings","Ingroup",4,0.0146
"191",2182,"Iraq","Biden",1,"7/31/2002","Senate Hearings","Ingroup",21,0.0117
"200",405,"Iraq","Biden",1,"10/10/2002","Senate","Ingroup",1,0.0013
"203",10,"Iraq","Biden",1,"1/17/2003","Senate","Ingroup",1,0.0198
"204",9,"North Korea","Biden",1,"1/17/2003","Senate","Ingroup",2,0.0275
"208",11,"Iraq","Biden",1,"1/28/2003","Senate","Ingroup",2,0.0061
"213",2341,"North Korea","Biden",1,"2/4/2003","Senate Hearings","Ingroup",4,0.0096
"218",8,"North Korea","Biden",1,"2/6/2003","Senate","Ingroup",1,0.0026
"223",2392,"North Korea","Biden",1,"3/6/2003","Senate Hearings","Ingroup",1,0.0022
"227",2032,"Iran","Biden",1,"10/28/2003","Senate Hearings","Ingroup",1,0.0029
"231",2006,"Syria","Biden",1,"10/30/2003","Senate Hearings","Ingroup",1,0.0024
"237",19,"Russia","Biden",1,"6/17/2004","Senate","Ingroup",1,0.0069
"241",2357,"North Korea","Biden",1,"7/15/2004","Senate Hearings","Ingroup",3,0.0112
"244",18,"Iran","Biden",1,"7/22/2004","Senate","Ingroup",1,0.0087
"249",2469,"Sudan","Biden",1,"9/9/2004","Senate Hearings","Ingroup",2,0.0095
"253",2017,"Iran","Biden",1,"3/2/2006","Senate Hearings","Ingroup",1,0.008
"261",2408,"Sudan","Biden",1,"4/11/2007","Senate Hearings","Ingroup",6,0.0168
"267",2294,"Russia","Biden",1,"6/21/2007","Senate Hearings","Ingroup",4,0.0193
"271",2433,"Sudan","Biden",1,"4/23/2008","Senate Hearings","Ingroup",5,0.0115
"276",2044,"Iran","Biden",1,"7/9/2008","Senate Hearings","Ingroup",7,0.0212
"280",58,"North Korea","Biden",1,"9/22/2008","Senate","Ingroup",2,0.0243
"283",188,"Iraq","Biden",1,"2/12/1998","Senate","Ingroup",2,0.0087
"287",55,"Kosovo","Biden",1,"3/6/1998","Senate","Ingroup",1,0.0166
"291",2148,"Kosovo","Biden",1,"5/6/1998","Senate Hearings","Ingroup",6,0.0201
"295",334,"Iran","Biden",1,"5/22/1998","Senate","Ingroup",5,0.0135
"300",54,"Kosovo","Biden",1,"6/17/1998","Senate","Ingroup",6,0.0236
"304",2155,"Kosovo","Biden",1,"6/24/1998","Senate Hearings","Ingroup",1,0.0054
"308",57,"Kosovo","Biden",1,"10/14/1998","Senate","Ingroup",5,0.0192
"312",247,"Kosovo","Biden",1,"3/22/1999","Senate","Ingroup",8,0.0111
"316",289,"Kosovo","Biden",1,"3/23/1999","Senate","Ingroup",1,0.0051
"319",413,"Iraq","Bingaman",1,"10/10/2002","Senate","Ingroup",1,0.0113
"327",1327,"Iraq","Blumenauer",1,"10/10/2002","House","Ingroup",1,0.0404
"332",1893,"Sudan","Blumenauer",1,"6/22/2005","House Hearings","Ingroup",1,0.0525
"333",566,"Sudan","Blumenauer",1,"12/8/2005","House","Ingroup",1,0.0602
"336",1830,"Sudan","Blumenauer",1,"5/18/2006","House Hearings","Ingroup",3,0.1086
"341",1112,"Kosovo","Bonior",1,"3/17/1998","House","Ingroup",2,0.0546
"344",1719,"Afghanistan","Bonior",1,"9/14/2001","House","Ingroup",2,0.0782
"349",1609,"North Korea","Bordallo",1,"9/29/2006","House","Ingroup",3,0.0655
"356",1226,"Iraq","Borski",1,"10/9/2002","House","Ingroup",3,0.0317
"360",1465,"Iraq","Boswell",1,"10/9/2002","House","Ingroup",4,0.0397
"367",1998,"Afghanistan","Boxer",1,"6/26/2002","Senate Hearings","Ingroup",4,0.0417
"371",427,"Iraq","Boxer",1,"10/10/2002","Senate","Ingroup",2,0.0198
"374",2008,"Syria","Boxer",1,"10/30/2003","Senate Hearings","Ingroup",1,0.0121
"377",344,"Syria","Boxer",1,"11/11/2003","Senate","Ingroup",2,0.0172
"380",25,"Iran","Boxer",1,"3/11/2004","Senate","Ingroup",1,0.033
"384",2233,"Syria","Boxer",1,"11/9/2011","House Hearings","Ingroup",1,0.0114
"385",24,"Iran","Boxer",1,"7/7/1998","Senate","Ingroup",1,0.0235
"389",1616,"Afghanistan","BrownFL",1,"9/14/2001","House","Ingroup",1,0.0819
"393",1228,"Iraq","BrownFL",1,"10/9/2002","House","Ingroup",3,0.0186
"402",570,"Iraq","BrownOH",1,"2/27/2003","House","Ingroup",1,0.0195
"405",571,"Iraq","BrownOH",1,"3/11/2003","House","Ingroup",2,0.0246
"413",44,"Iraq","Byrd",1,"9/20/2002","Senate","Ingroup",2,0.0093
"417",45,"Iraq","Byrd",1,"9/26/2002","Senate","Ingroup",3,0.0147
"420",355,"Iraq","Byrd",1,"10/7/2002","Senate","Ingroup",1,0.0052
"424",371,"Iraq","Byrd",1,"10/8/2002","Senate","Ingroup",2,0.0063
"429",406,"Iraq","Byrd",1,"10/10/2002","Senate","Ingroup",5,0.0044
"433",41,"Iraq","Byrd",1,"1/29/2003","Senate","Ingroup",3,0.0154
"440",64,"Kosovo","Byrd",1,"10/14/1998","Senate","Ingroup",2,0.0094
"445",1595,"Afghanistan","Capps",1,"9/14/2001","House","Ingroup",1,0.0896
"450",847,"Sudan","Capuano",1,"7/21/2004","House","Ingroup",1,0.0282
"455",1015,"Libya","Capuano",1,"6/3/2011","House","Ingroup",1,0.0301
"458",1700,"Afghanistan","Cardin",1,"9/14/2001","House","Ingroup",2,0.0535
"470",2441,"Sudan","Cardin",1,"4/23/2008","Senate Hearings","Ingroup",2,0.028
"475",2080,"Iran","Cardin",1,"6/22/2010","Senate Hearings","Ingroup",3,0.0504
"477",2221,"Libya","Cardin",1,"3/31/2011","Senate Hearings","Ingroup",2,0.0306
"482",46,"Russia","Cardin",1,"2/16/2012","Senate","Ingroup",3,0.0167
"488",2242,"Syria","Cardin",1,"3/1/2012","House Hearings","Ingroup",1,0.024
"491",2254,"Syria","Cardin",1,"4/19/2012","House Hearings","Ingroup",1,0.0119
"494",2116,"Iran","Cardin",1,"7/25/2012","Senate Hearings","Ingroup",1,0.0152
"496",1389,"Iran","CarnahanR",1,"3/6/2007","House Hearings","Ingroup",1,0.036
"500",472,"Iraq ","Carper",1,"10/10/2002","Senate","Ingroup",6,0.0234
"503",1232,"Iraq","Carson",1,"10/9/2002","House","Ingroup",2,0.0148
"505",2053,"Iran","Casey",1,"3/29/2007","Senate Hearings","Ingroup",1,0.0186
"509",2305,"Russia","Casey",1,"9/17/2008","Senate Hearings","Ingroup",2,0.016
"510",2125,"Iran","Casey",1,"3/3/2009","Senate Hearings","Ingroup",1,0.0156
"518",2071,"Iran","Casey",1,"5/11/2011","Senate Hearings","Ingroup",6,0.0169
"524",2235,"Syria","Casey",1,"11/9/2011","House Hearings","Ingroup",6,0.0235
"529",2243,"Syria","Casey",1,"3/1/2012","House Hearings","Ingroup",2,0.0426
"532",2117,"Iran","Casey",1,"7/25/2012","Senate Hearings","Ingroup",8,0.0421
"544",869,"Sudan","Christensen",1,"7/30/2007","House","Ingroup",1,0.0266
"547",1149,"Libya","Cicilline",1,"3/31/2011","House Hearings","Ingroup",1,0.0178
"549",959,"Syria","Cicilline",1,"3/20/2013","House Hearings","Ingroup",1,0.0411
"552",1730,"Afghanistan","Clayton",1,"9/14/2001","House","Ingroup",1,0.0254
"556",357,"Iraq","Cleland",1,"10/7/2002","Senate","Ingroup",3,0.0203
"559",51,"Iraq","Cleland",1,"3/17/1998","Senate","Ingroup",4,0.0127
"562",1715,"Afghanistan","Clement",1,"9/14/2001","House","Ingroup",2,0.0948
"566",66,"Sudan","Clinton",1,"5/25/2006","Senate","Ingroup",4,0.0132
"573",464,"Iraq","Clinton",1,"10/10/2002","Senate","Ingroup",1,0.0041
"575",1408,"Iraq","Clyburn",1,"10/10/2002","House","Ingroup",1,0.0317
"580",1970,"Russia","Cohen",1,"7/7/2011","House Hearings","Ingroup",1,0.0052
"584",909,"Iran","Cohen",1,"10/14/2011","House Hearings","Ingroup",2,0.0116
"587",478,"Iraq","Conrad",1,"10/10/2002","Senate","Ingroup",1,0.0049
"591",2391,"Iraq","Conyers",1,"3/23/2000","House Hearings","Ingroup",3,0.0156
"596",1758,"Afghanistan","Conyers",1,"9/14/2001","House","Ingroup",6,0.0456
"600",834,"Sudan","Conyers",1,"7/21/2004","House","Ingroup",4,0.074
"604",2306,"Russia","Corker",1,"9/17/2008","Senate Hearings","Ingroup",1,0.0132
"608",2453,"Sudan","Corker",1,"7/30/2009","Senate Hearings","Ingroup",1,0.012
"616",2211,"Libya","Corker",1,"6/28/2011","Senate Hearings","Ingroup",1,0.006
"619",2244,"Syria","Corker",1,"3/1/2012","House Hearings","Ingroup",1,0.0322
"621",2255,"Syria","Corker",1,"4/19/2012","House Hearings","Ingroup",3,0.0717
"626",497,"Syria","Corker",1,"9/9/2013","Senate","Ingroup",5,0.028
"627",1895,"Sudan","Crowley",1,"6/22/2005","House Hearings","Ingroup",1,0.056
"631",529,"Iraq","Corzine",1,"10/9/2002","Senate","Ingroup",1,0.0049
"640",72,"Sudan","Corzine",1,"5/6/2004","Senate","Ingroup",1,0.0145
"645",70,"Sudan","Corzine",1,"7/22/2004","Senate","Ingroup",4,0.0336
"647",2465,"Sudan","Corzine",1,"9/9/2004","Senate Hearings","Ingroup",1,0.0064
"650",73,"Sudan","Corzine",1,"5/10/2005","Senate","Ingroup",2,0.0203
"652",71,"Sudan","Corzine",1,"6/20/2005","Senate","Ingroup",2,0.0592
"653",1743,"Afghanistan","Costello",1,"9/14/2001","House","Ingroup",1,0.0499
"655",1233,"Iraq","Costello",1,"10/9/2002","House","Ingroup",5,0.0783
"657",1195,"Russia","Crowley",1,"9/27/2000","House Hearings","Ingroup",1,0.0458
"658",1815,"Russia","Crowley",1,"9/27/2000","House Hearings","Ingroup",1,0.0458
"661",1662,"Afghanistan","Crowley",1,"9/14/2001","House","Ingroup",1,0.0153
"665",716,"Iran","Crowley",1,"4/26/2006","House","Ingroup",2,0.045
"674",1475,"Iraq","Cummings",1,"10/9/2002","House","Ingroup",1,0.0141
"678",823,"Sudan","Cummings",1,"5/13/2004","House","Ingroup",3,0.0281
"685",74,"0","Daschle",1,"9/14/2001","Senate","Ingroup",5,0.0653
"690",410,"Iraq","Daschle",1,"10/10/2002","Senate","Ingroup",1,0.0043
"693",340,"Syria","Daschle",1,"11/11/2003","Senate","Ingroup",1,0.0086
"697",187,"Iraq","Daschle",1,"2/12/1998","Senate","Ingroup",2,0.0175
"703",1713,"Afghanistan","DavisCA",1,"9/14/2001","House","Ingroup",1,0.0674
"705",1568,"Afghanistan","DavisFL",1,"9/14/2001","House","Ingroup",1,0.0456
"706",1701,"Afghanistan","DavisIL",1,"9/14/2001","House","Ingroup",1,0.0582
"714",411,"Iraq","Dayton",1,"10/10/2002","Senate","Ingroup",1,0.007
"717",78,"Iraq","Dayton",1,"2/13/2003","Senate","Ingroup",2,0.0132
"725",588,"Iraq","DeFazio",1,"9/10/2002","House","Ingroup",1,0.0115
"731",589,"Iraq","DeFazio",1,"9/25/2002","House","Ingroup",1,0.0141
"740",1477,"Iraq","Delahunt",1,"10/9/2002","House","Ingroup",2,0.0084
"743",1896,"Sudan","Delahunt",1,"6/22/2005","House Hearings","Ingroup",2,0.2428
"744",1831,"Sudan","Delahunt",1,"5/18/2006","House Hearings","Ingroup",1,0.056
"746",1880,"North Korea","Delahunt",1,"11/15/2006","House Hearings","Ingroup",2,0.0309
"750",1946,"Russia","Delahunt",1,"11/9/2008","House Hearings","Ingroup",6,0.0319
"755",1684,"Afghanistan","Delauro",1,"9/14/2001","House","Ingroup",2,0.0954
"758",1152,"Libya","Deutch",1,"3/31/2011","House Hearings","Ingroup",1,0.0558
"760",1972,"Russia","Deutch",1,"7/7/2011","House Hearings","Ingroup",1,0.0339
"764",911,"Iran","Deutch",1,"10/14/2011","House Hearings","Ingroup",1,0.0221
"769",962,"Syria","Deutch",1,"3/20/2013","House Hearings","Ingroup",3,0.0318
"772",1480,"Iraq","Dicks",1,"10/9/2002","House","Ingroup",1,0.012
"779",2188,"Iraq","Dodd",1,"7/31/2002","Senate Hearings","Ingroup",1,0.0091
"783",515,"Iraq","Dodd",1,"10/9/2002","Senate","Ingroup",4,0.0111
"788",85,"Iraq","Dodd",1,"3/7/2003","Senate","Ingroup",4,0.0144
"794",2371,"North Korea","Dodd",1,"7/20/2006","Senate Hearings","Ingroup",1,0.0098
"798",86,"Sudan","Dodd",1,"9/14/2006","Senate","Ingroup",1,0.0055
"801",82,"Sudan","Dodd",1,"4/24/2007","Senate","Ingroup",3,0.0238
"804",84,"Sudan","Dodd",1,"7/31/2007","Senate","Ingroup",3,0.0356
"809",83,"Sudan","Dodd",1,"8/2/2007","Senate","Ingroup",1,0.0177
"811",2436,"Sudan","Dodd",1,"4/23/2008","Senate Hearings","Ingroup",1,0.0187
"815",2307,"Russia","Dodd",1,"9/17/2008","Senate Hearings","Ingroup",1,0.0037
"817",2158,"Kosovo","Dodd",1,"6/24/1998","Senate Hearings","Ingroup",1,0.014
"820",1482,"Iraq","Doggett",1,"10/9/2002","House","Ingroup",10,0.1297
"823",1424,"Iraq","Doggett",1,"10/10/2002","House","Ingroup",1,0.0458
"826",592,"Iraq","Doggett",1,"3/6/2003","House","Ingroup",5,0.072
"831",75,"Afghanistan","Dorgan",1,"9/14/2001","Senate","Ingroup",5,0.051
"836",480,"Iraq","Dorgan",1,"10/10/2002","Senate","Ingroup",5,0.0354
"840",207,"Iraq","Dorgan",1,"3/12/1998","Senate","Ingroup",5,0.0288
"843",246,"Kosovo","Dorgan",1,"3/22/1999","Senate","Ingroup",2,0.0179
"856",607,"Iraq","Durbin",1,"9/10/2002","House","Ingroup",10,0.0392
"861",433,"Iraq","Durbin",1,"10/10/2002","Senate","Ingroup",8,0.0149
"864",99,"Iraq","Durbin",1,"3/13/2003","Senate","Ingroup",3,0.014
"867",343,"Syria","Durbin",1,"11/11/2003","Senate","Ingroup",1,0.0102
"872",100,"Sudan","Durbin",1,"5/2/2006","Senate","Ingroup",7,0.0418
"880",416,"Iran","Durbin",1,"2/16/2007","Senate","Ingroup",3,0.0133
"884",96,"Sudan","Durbin",1,"2/16/2007","Senate","Ingroup",2,0.0136
"889",98,"Sudan","Durbin",1,"3/1/2007","Senate","Ingroup",3,0.0182
"894",101,"Sudan","Durbin",1,"5/10/2007","Senate","Ingroup",1,0.0052
"898",92,"Sudan","Durbin",1,"5/24/2007","Senate","Ingroup",5,0.0447
"902",97,"Sudan","Durbin",1,"6/28/2007","Senate","Ingroup",3,0.0344
"906",921,"Sudan","Durbin",1,"7/31/2007","House","Ingroup",5,0.0351
"909",102,"Sudan","Durbin",1,"10/4/2007","Senate","Ingroup",2,0.0251
"911",103,"Sudan","Durbin",1,"10/26/2007","Senate","Ingroup",2,0.0316
"915",104,"Iran","Durbin",1,"10/30/2007","Senate","Ingroup",1,0.0088
"919",2223,"Libya","Durbin",1,"3/31/2011","Senate Hearings","Ingroup",1,0.0289
"922",2236,"Syria","Durbin",1,"11/9/2011","House Hearings","Ingroup",3,0.0523
"925",244,"Syria","Durbin",1,"3/15/2012","Senate","Ingroup",1,0.0115
"930",495,"Syria","Durbin",1,"9/9/2013","Senate","Ingroup",1,0.0035
"932",1680,"Afghanistan","EdwardsTX",1,"9/14/2001","House","Ingroup",1,0.076
"935",105,"Iraq","EdwardsNC",1,"9/12/2002","Senate","Ingroup",2,0.0161
"939",1485,"Iraq","EdwardsTX",1,"10/9/2002","House","Ingroup",1,0.0156
"944",481,"Iraq","EdwardsNC",1,"10/10/2002","Senate","Ingroup",1,0.0081
"946",562,"Iran","Ellison",1,"4/15/2008","House","Ingroup",1,0.0071
"950",608,"Syria","Ellison",1,"6/2/2011","House","Ingroup",4,0.0693
"954",1103,"Kosovo","Engel",1,"3/17/1998","House","Ingroup",1,0.0088
"957",1722,"Afghanistan","Engel",1,"9/14/2001","House","Ingroup",2,0.1073
"960",1266,"Syria","Engel",1,"11/20/2003","House","Ingroup",2,0.0156
"967",1832,"Sudan","Engel",1,"5/18/2006","House Hearings","Ingroup",1,0.0136
"969",612,"Syria","Engel",1,"6/19/2006","House","Ingroup",2,0.1075
"973",1155,"Iran","Engel",1,"7/9/2008","House Hearings","Ingroup",1,0.0227
"977",1973,"Russia","Engel",1,"7/7/2011","House Hearings","Ingroup",1,0.0392
"982",616,"Syria","Engel",1,"9/11/2013","House","Ingroup",1,0.0555
"985",613,"Kosovo","Engel",1,"3/24/1998","House","Ingroup",1,0.0136
"994",611,"Iran","Engel",1,"6/11/1998","House","Ingroup",1,0.0122
"996",615,"Kosovo","Engel",1,"10/1/1998","House","Ingroup",1,0.0125
"1001",1664,"Afghanistan","Eshoo",1,"9/14/2001","House","Ingroup",1,0.0639
"1005",1591,"Afghanistan","Etheridge",1,"9/14/2001","House","Ingroup",4,0.1147
"1008",333,"Iran","Faircloth",1,"5/22/1998","Senate","Ingroup",2,0.0422
"1012",1488,"Iraq","Faleomavaega",1,"10/9/2002","House","Ingroup",2,0.026
"1015",1804,"North Korea","Faleomavaega",1,"2/17/2005","House Hearings","Ingroup",1,0.0051
"1018",1935,"North Korea","Faleomavaega",1,"4/28/2005","House Hearings","Ingroup",3,0.0471
"1021",1863,"North Korea","Faleomavaega",1,"6/29/2006","House Hearings","Ingroup",6,0.0261
"1023",865,"Sudan","Faleomavaega",1,"7/8/2007","House","Ingroup",1,0.0275
"1030",1974,"Russia","Faleomavaega",1,"7/7/2011","House Hearings","Ingroup",2,0.0323
"1034",1851,"Russia","Faleomavaega",1,"5/12/1999","House Hearings","Ingroup",2,0.0127
"1042",111,"Kosovo","Feingold",1,"6/9/1998","Senate","Ingroup",2,0.0297
"1049",2486,"Sudan","Feingold",1,"6/11/2002","Senate Hearings","Ingroup",10,0.0252
"1056",2191,"Iraq","Feingold",1,"7/31/2002","Senate Hearings","Ingroup",3,0.0197
"1059",183,"Sudan","Feingold",1,"9/13/2002","Senate","Ingroup",1,0.0147
"1062",184,"Iraq","Feingold",1,"9/26/2002","Senate","Ingroup",1,0.007
"1066",373,"Iraq","Feingold",1,"10/9/2002","Senate","Ingroup",5,0.0154
"1069",2038,"Iran","Feingold",1,"10/28/2003","Senate Hearings","Ingroup",1,0.0351
"1072",116,"Sudan","Feingold",1,"3/30/2004","Senate","Ingroup",3,0.0382
"1076",114,"Sudan","Feingold",1,"5/6/2004","Senate","Ingroup",1,0.0159
"1079",2136,"Sudan","Feingold",1,"6/15/2004","Senate Hearings","Ingroup",2,0.0188
"1083",109,"Sudan","Feingold",1,"7/22/2004","Senate","Ingroup",1,0.0124
"1086",2471,"Sudan","Feingold",1,"9/9/2004","Senate Hearings","Ingroup",1,0.01
"1093",108,"Russia","Feingold",1,"2/7/2005","Senate","Ingroup",1,0.0078
"1103",182,"Sudan","Feingold",1,"9/11/2006","Senate","Ingroup",3,0.0382
"1111",112,"Iran","Feingold",1,"6/22/2007","Senate","Ingroup",1,0.0203
"1115",923,"Sudan","Feingold",1,"7/31/2007","House","Ingroup",2,0.0161
"1119",181,"Iran","Feingold",1,"11/8/2007","Senate","Ingroup",1,0.0122
"1124",2308,"Russia","Feingold",1,"9/17/2008","Senate Hearings","Ingroup",1,0.0204
"1129",2405,"Sudan","Feingold",1,"5/12/2010","Senate Hearings","Ingroup",1,0.02
"1131",2082,"Iran","Feingold",1,"6/22/2010","Senate Hearings","Ingroup",1,0.018
"1135",2424,"Sudan","Feingold",1,"5/15/1997","Senate Hearings","Ingroup",5,0.0277
"1142",210,"Iraq","Feinstein",1,"9/5/2002","Senate","Ingroup",1,0.0057
"1147",581,"Iraq","Feinstein",1,"9/5/2002","Senate","Ingroup",1,0.0056
"1155",486,"Iraq","Feinstein",1,"10/10/2002","Senate","Ingroup",3,0.034
"1159",185,"North Korea","Feinstein",1,"4/10/2003","Senate","Ingroup",2,0.0099
"1161",350,"Syria","Feinstein",1,"11/11/2003","Senate","Ingroup",1,0.0204
"1165",236,"Syria","Feinstein",1,"9/11/2013","Senate","Ingroup",2,0.0074
"1169",211,"Kosovo","Feinstein",1,"9/23/1998","Senate","Ingroup",1,0.016
"1172",1236,"Iraq","Ford",1,"10/9/2002","House","Ingroup",2,0.0205
"1183",1060,"Libya","Frank",1,"6/24/2011","House","Ingroup",2,0.1123
"1185",1702,"Afghanistan","Frost",1,"9/14/2001","House","Ingroup",1,0.0689
"1196",1666,"Afghanistan","Gephardt",1,"9/14/2001","House","Ingroup",2,0.0354
"1199",1434,"Iraq","Gephardt",1,"10/10/2002","House","Ingroup",4,0.0172
"1203",1708,"Afghanistan","GrahamSC",1,"9/14/2001","House","Ingroup",2,0.1291
"1205",1411,"Iraq","GrahamSC",1,"10/10/2002","House","Ingroup",3,0.0569
"1207",303,"Syria","GrahamSC",1,"5/9/2013","Senate","Ingroup",3,0.015
"1211",1657,"Afghanistan","GreenG",1,"9/14/2001","House","Ingroup",2,0.0958
"1214",543,"Sudan","GreenA",1,"4/5/2006","House","Ingroup",2,0.0651
"1220",646,"Sudan","Hall",1,"6/3/1998","House","Ingroup",1,0.0455
"1223",637,"Iraq","Hamilton",1,"8/3/1998","House","Ingroup",2,0.0205
"1225",792,"Iran","Hamilton",1,"8/3/1998","House","Ingroup",3,0.0287
"1228",640,"Iraq","Hamilton",1,"10/5/1998","House","Ingroup",3,0.0274
"1239",1450,"Iraq","HastingsFL",1,"10/10/2002","House","Ingroup",1,0.0151
"1247",1580,"Afghanistan","Hinojosa",1,"9/14/2001","House","Ingroup",1,0.0344
"1250",1498,"Iraq","Hinojosa",1,"10/9/2002","House","Ingroup",3,0.0544
"1270",650,"Iraq","Holt",1,"3/5/2003","House","Ingroup",3,0.0338
"1273",550,"Sudan","Holt",1,"4/5/2006","House","Ingroup",3,0.0642
"1285",1691,"Afghanistan","Hooley",1,"9/14/2001","House","Ingroup",2,0.0229
"1291",1106,"Kosovo","Hoyer",1,"3/17/1998","House","Ingroup",3,0.0347
"1295",1589,"Afghanistan","Hoyer",1,"9/14/2001","House","Ingroup",1,0.0245
"1299",1504,"Iraq","Hoyer",1,"10/9/2002","House","Ingroup",1,0.0135
"1301",845,"Sudan","Hoyer",1,"7/21/2004","House","Ingroup",1,0.0223
"1304",855,"Iran","Hoyer",1,"7/30/2007","House","Ingroup",1,0.024
"1309",1084,"Libya","Hoyer",1,"6/24/2011","House","Ingroup",1,0.0168
"1312",651,"Kosovo","Hoyer",1,"3/10/1998","House","Ingroup",4,0.0448
"1314",1706,"Afghanistan","Inslee",1,"9/14/2001","House","Ingroup",1,0.1026
